### Correlation ###
1826, 3996, 6, 215 => 1416, 3656, 6, 215
1712, 3792, 10, 251 => 1331, 3461, 10, 251
714, 3551, 8, 253 => 448, 3154, 8, 253
2871, 3189, 9, 253 => 2434, 3017, 9, 253
1890, 3079, 2, 181 => 1555, 2831, 2, 181
2705, 2935, 10, 243 => 2307, 2773, 10, 243
1754, 2785, 6, 242 => 1458, 2552, 6, 242
648, 2752, 5, 212 => 459, 2424, 5, 212
2495, 2661, 6, 238 => 2141, 2506, 6, 238
2562, 2409, 8, 251 => 2224, 2283, 8, 251
1961, 2390, 9, 254 => 1681, 2213, 9, 254
2161, 2178, 8, 239 => 1881, 2039, 8, 239
2815, 2160, 4, 200 => 2475, 2080, 4, 200
1461, 2111, 5, 250 => 1253, 1916, 5, 250
1155, 2072, 1, 183 => 979, 1853, 1, 183
1670, 1982, 5, 253 => 1454, 1818, 5, 253
1135, 1869, 7, 239 => 979, 1668, 7, 239
179, 1801, 4, 212 => 119, 1521, 4, 212
2715, 1759, 7, 224 => 2420, 1708, 7, 224
1813, 1757, 1, 182 => 1603, 1626, 1, 182
470, 1713, 3, 188 => 390, 1467, 3, 188
1742, 1594, 1, 180 => 1553, 1472, 1, 180
1552, 1484, 4, 189 => 1391, 1356, 4, 189
2350, 1345, 6, 244 => 2126, 1301, 6, 244
2446, 1307, 7, 246 => 2216, 1275, 7, 246
1539, 1265, 5, 253 => 1399, 1156, 5, 253
1594, 1232, 5, 237 => 1451, 1131, 5, 237
1670, 921, 5, 239 => 1548, 856, 5, 239
2539, 887, 1, 182 => 2338, 903, 1, 182
1266, 885, 5, 243 => 1185, 788, 5, 243
2058, 566, 7, 245 => 1931, 569, 7, 245
2717, 7, 7, 252 => 2577, 121, 7, 252
