### Correlation ###
1826, 3996, 6, 215 => 545, 946, 6, 215
1712, 3792, 10, 251 => 511, 852, 10, 251
714, 3551, 8, 253 => 105, 682, 8, 253
2871, 3189, 9, 253 => 1043, 676, 9, 253
1890, 3079, 2, 181 => 635, 563, 2, 181
2705, 2935, 10, 243 => 990, 558, 10, 243
1754, 2785, 6, 242 => 598, 429, 6, 242
648, 2752, 5, 212 => 132, 339, 5, 212
2495, 2661, 6, 238 => 920, 427, 6, 238
2562, 2409, 8, 251 => 965, 325, 8, 251
1961, 2390, 9, 254 => 712, 276, 9, 254
2161, 2178, 8, 239 => 811, 200, 8, 239
2815, 2160, 4, 200 => 1089, 237, 4, 200
1461, 2111, 5, 250 => 520, 124, 5, 250
1155, 2072, 1, 183 => 393, 86, 1, 183
1670, 1982, 5, 253 => 617, 84, 5, 253
1135, 1869, 7, 239 => 398, 0, 7, 239
2715, 1759, 7, 224 => 1075, 61, 7, 224
